node_1|node_2|edge|chunk_id
commissioned officers|warrant officers|enlisted personnel in all regular and reserve units controlled by the Secretaries of Defense, Army, Navy, and Air Force|1020b5a3ff45486d925787405f02ab41
u.s. armed forces|coast guard|includes this in federal tax purposes|1020b5a3ff45486d925787405f02ab41
public health service|national oceanic and atmospheric administration|can receive many of the same tax benefits as the U.S. Armed Forces|1020b5a3ff45486d925787405f02ab41
combat zone|qualified hazardous duty area|members serving in these areas may be eligible for extended deadlines for filing tax returns, paying taxes, and doing certain other tax-related acts|1020b5a3ff45486d925787405f02ab41
publication 3, armed forces' tax guide|u.s. armed forces|provides details on extended deadlines for filing tax returns, paying taxes, and doing certain other tax-related acts|1020b5a3ff45486d925787405f02ab41
tax information for members of the military|u.s. armed forces|provides more information on tax benefits available to members|1020b5a3ff45486d925787405f02ab41
president|irs|The President declares a federal disaster, and the IRS issues a disaster announcement.|ab07c1c661504d9699ad0c99ffbfdd2e
taxpayers|disaster area|Affected taxpayers are those whose residence or place of business is located in the disaster area.|ab07c1c661504d9699ad0c99ffbfdd2e
taxpayers|disaster relief workers|All disaster relief workers and individuals who were visiting the area during the disaster and were injured or killed due to the disaster are also entitled to relief.|ab07c1c661504d9699ad0c99ffbfdd2e
taxpayers|irs|The IRS will identify taxpayers located in disaster areas by ZIP code and applies filing and payment relief.|ab07c1c661504d9699ad0c99ffbfdd2e
affected taxpayers|irs toll free number|Affected taxpayers who are located outside the disaster area, must call the IRS toll free at 866-562-5227 to self-identify for disaster relief.|ab07c1c661504d9699ad0c99ffbfdd2e
tax relief in disaster situations page|irs news from around the nation page|Additional tax relief granted by the IRS is found in the IRS disaster announcements located on the Tax Relief in Disaster Situations page or disaster relief for your state found on the IRS News From Around the Nation page.|ab07c1c661504d9699ad0c99ffbfdd2e
revenue procedure 2018-58|treasury regulation 301.7508a-1|Detailed information can be found in Revenue Procedure 2018-58 and Treasury Regulation 301.7508A-1.|ab07c1c661504d9699ad0c99ffbfdd2e
taxpayers|federal tax return|Taxpayers can claim disaster losses on their federal tax return.|ab07c1c661504d9699ad0c99ffbfdd2e
disaster|casualty losses|related to|162ff9b93d7c44d5b12ffe362148a28c
taxpayers|federal tax return|claims|162ff9b93d7c44d5b12ffe362148a28c
personal property|insurance|not covered by|162ff9b93d7c44d5b12ffe362148a28c
publication 547|casualties, disasters and thefts|related to|162ff9b93d7c44d5b12ffe362148a28c
taxpayers|return|must include information on|162ff9b93d7c44d5b12ffe362148a28c
name of the disaster|fema declaration number|must be included together at the top of the form|162ff9b93d7c44d5b12ffe362148a28c
federal emergency management agency (fema)|declaration number|related to|162ff9b93d7c44d5b12ffe362148a28c
taxpayers|irs|works together to settle tax disputes|9fa9aa8df81c4b51ad03c230c58808db
administrative appeals process|court proceedings|alternative to avoiding|9fa9aa8df81c4b51ad03c230c58808db
independent office of appeals (appeals)|tax dispute|conducts independent review and considers positions of both parties|9fa9aa8df81c4b51ad03c230c58808db
appeals|tax disputes|strives to resolve in a fair way, remaining impartial to both parties|9fa9aa8df81c4b51ad03c230c58808db
proposed adjustments|correspondence|explains and informs of right to request conference with Appeals or Settlement Officer|9fa9aa8df81c4b51ad03c230c58808db
examination adjustments|appeals|can be appealed, along with other things like penalties and denial of interest abatement|9fa9aa8df81c4b51ad03c230c58808db
appeals|conferences|are informal meetings, where you may represent yourself or have an authorized individual represent you.|6aca429f8c734fc6bb904e69b7cb662c
appeals|attorney|you may have an attorney represent you in Appeals conferences|6aca429f8c734fc6bb904e69b7cb662c
appeals|certified public accountant|or have a certified public accountant authorized to practice before the Internal Revenue Service represent you in Appeals conferences|6aca429f8c734fc6bb904e69b7cb662c
circular no. 230|regulations governing practice before the internal revenue servicepdf|see this publication for more information on Appeals|6aca429f8c734fc6bb904e69b7cb662c
appeals or settlement officer|irs|you may appeal certain actions through the courts if you don't reach an agreement with the Appeals or Settlement Officer or wish to appeal within the IRS|6aca429f8c734fc6bb904e69b7cb662c
publication 5|your appeal rights and how to prepare a protest if you don't agreepdf|refer to this publication for further information on Appeals and how to stop interest from accruing on any anticipated liability|6aca429f8c734fc6bb904e69b7cb662c
publication 556|examination of returns, appeal rights and claims for refund|refer to this publication for further information on Appeals|6aca429f8c734fc6bb904e69b7cb662c
publication 1660|collection appeal rightspdf|refer to this publication for further information on Appeals|6aca429f8c734fc6bb904e69b7cb662c
publication 1|your rights as a taxpayer|refer to this publication for further information on Appeals|6aca429f8c734fc6bb904e69b7cb662c
appeals|alternative dispute resolution processes|visit Appeals to find information about alternative dispute resolution processes, technical guidance, international programs, and more|6aca429f8c734fc6bb904e69b7cb662c
refund timing|irs|The IRS issues more than 9 out of 10 refunds in the normal time frame: less than 21 days.|d6e84f0f67734d5882c4c46663288987
tax returns|further review|Some tax returns may require further review and could result in the refund being delayed.|d6e84f0f67734d5882c4c46663288987
refund processing times|mailed return|You mailed your return, which may extend processing times.|d6e84f0f67734d5882c4c46663288987
amended returns|processing timeframes|If you filed an amended return, refer to Where's my amended return? for more information, including processing timeframes.|d6e84f0f67734d5882c4c46663288987
injured spouse claim|relief|If you filed an injured spouse claim, refer to injured spouse relief for more information.|d6e84f0f67734d5882c4c46663288987
itin applications|topic no. 857|For refund claims with an application for an individual taxpayer identification number (ITIN) attached, refer to Topic no. 857 for more information.|d6e84f0f67734d5882c4c46663288987
form 1040-nr|refund of tax withheld|If you requested a refund of tax withheld on a Form 1042-S by filing a Form 1040-NR, allow up to 6 months from the original due date of the 1040-NR return or the date you filed the 10-40 NR, whichever is later, to receive any refund due.|d6e84f0f67734d5882c4c46663288987
earned income tax credit|refunds|The IRS expects the earliest Earned Income Tax Credit and Additional Child Tax Credit related refunds to be available in taxpayer bank accounts or on debit cards by February 27 if you chose direct deposit and there are no other issues with the tax return.|d6e84f0f67734d5882c4c46663288987
refund dates|where's my refund?|However, some taxpayers may see their refunds a few days earlier. Check Where's my refund? for your personalized refund date.|d6e84f0f67734d5882c4c46663288987
tax return errors|topic no. 303|You can also refer to Topic no. 303 for a checklist of common errors made when preparing your tax return and for additional items that may delay the processing of your return.|d6e84f0f67734d5882c4c46663288987
refund|status|The refund status can be obtained by contacting us|e56e020b3753456ebc78734342afa239
taxpayers|refunds|Taxpayers get their refunds faster by using e-file and direct deposit|e56e020b3753456ebc78734342afa239
e-file|direct deposit|E-filing and direct deposit are the fastest ways to receive refunds|e56e020b3753456ebc78734342afa239
refund type|federal individual income tax refund|The refund type refers to a federal individual income tax refund|e56e020b3753456ebc78734342afa239
direct deposit|checking or savings account|Direct deposits are made into checking or savings accounts, including IRAs at banks or financial institutions|e56e020b3753456ebc78734342afa239
financial institution|bank or credit union|Financial institutions include banks and credit unions in the United States|e56e020b3753456ebc78734342afa239
fraud|identity theft|The IRS limits direct deposits to combat fraud and identity theft|e56e020b3753456ebc78734342afa239
direct deposit|bank|can be made into|34cc2a4febc242598bf9a82adf91c1aa
individual retirement arrangement (ira)|financial institution|can be held at|34cc2a4febc242598bf9a82adf91c1aa
treasurydirect online account|savings bonds|used to buy|34cc2a4febc242598bf9a82adf91c1aa
traditional ira, roth ira, or sep-ira|refund|can be directly deposited into|34cc2a4febc242598bf9a82adf91c1aa
simple ira|not applicable|cannot be used for depositing refunds|34cc2a4febc242598bf9a82adf91c1aa
ira|refund|You can directly deposit part or all of your refund into a traditional IRA, Roth IRA, or SEP-IRA|a620b732c684451e924ef692919a0345
traditional ira|roth ira|You can also consider splitting your refund between different types of IRAs, such as traditional and Roth IRAs|a620b732c684451e924ef692919a0345
sep-ira|simple ira|However, you cannot use a SIMPLE IRA to receive your refund, but you can consider other options like SEP-IRA or individual retirement accounts (IRAs)|a620b732c684451e924ef692919a0345
routing number|account number|To make the deposit, you need to provide your routing and account numbers|a620b732c684451e924ef692919a0345
form 10-40|form 10-40-sr|See the Instructions for Form 10-40 (and Form 10-40-SR) for more information on IRA contributions|a620b732c684451e924ef692919a0345
publication 590-a|iras|For more information on IRA contributions, see Publication 590-A, Contributions to Individual Retirement Arrangements (IRAs)|a620b732c684451e924ef692919a0345
u.s. series i savings bonds|refund|Another option is to use up to $5,000 of your refund by purchase of U.S. Series I Savings Bonds|a620b732c684451e924ef692919a0345
paper check|address listed on return|Alternatively, you can receive your refund via paper check sent to the address listed on your return|a620b732c684451e924ef692919a0345
refund|account|Your refund can be split into as many as three separate accounts.|20de651e0020430aafa6f72bf34694ce
direct deposit|form 88|You need to complete Form 88 and attach it to your income tax return for direct deposit.|20de651e0020430aafa6f72bf34694ce
series i savings bonds|form 88|You can use Form 88 to buy up to $5,000 in series I savings bonds.|20de651e0020430aafa6f72bf34694ce
injured spouse allocation|form 8|You need to file Form 8 if you want to have your refund deposited into more than one account or buy paper series I savings bonds.|20de651e0020430aafa6f72bf34694ce
refund status|where's my refund?|You can use Where's my Refund? tool to get the most up-to-date information about your refund status.|20de651e0020430aafa6f72bf34694ce
mobile app|irs2go|You can download IRS2Go mobile app from an iPhone or Android device to check Where's my Refund? tool.|20de651e0020430aafa6f72bf34694ce
refund status check|timeframe|You can start checking on the status of your refund within 24 hours after e-filing a tax year 20-23 return.|20de651e0020430aafa6f72bf34694ce
refund|tax return|A refund can be checked after e-filing a tax return.|7c4a8ac802b34c0e8dfc3eed30548c8e
e-filing|tax year 2023|The process of e-filing applies to tax year 2023 returns.|7c4a8ac802b34c0e8dfc3eed30548c8e
e-filing|tax year 2021/2022|The process of e-filing also applies to tax years 2021 and 2022 returns.|7c4a8ac802b34c0e8dfc3eed30548c8e
mailing|return|Refund status can be checked after mailing a return.|7c4a8ac802b34c0e8dfc3eed30548c8e
taxpayer identification number|filing status|This information is required to check refund status.|7c4a8ac802b34c0e8dfc3eed30548c8e
refund amount|return|The exact whole dollar amount of the refund shown on the return is needed to check refund status.|7c4a8ac802b34c0e8dfc3eed30548c8e
where's my refund?|irs|This tool provides information about refund status from the IRS.|7c4a8ac802b34c0e8dfc3eed30548c8e
refund tracker|return|The tracker displays progress through 3 stages: Return received, Refund approved, and Refund sent.|7c4a8ac802b34c0e8dfc3eed30548c8e
amended return|where's my amended return?|This tool provides information about the status of amended returns.|7c4a8ac802b34c0e8dfc3eed30548c8e
refund information|irs representatives|IRS representatives don't have information beyond what's shown on Where's my refund? so you don't need to call unless the tool says we can provide more information.|7c4a8ac802b34c0e8dfc3eed30548c8e
refund hotline|refund information|The refund hotline provides information about tax year 2023 refunds.|7c4a8ac802b34c0e8dfc3eed30548c8e
refund|check|A refund can be received as a check.|6a6d4f1a0a894d69b9b38f32f380534a
refund|irs|The IRS is responsible for managing refunds and providing information about them.|6a6d4f1a0a894d69b9b38f32f380534a
refund|bank or financial institution|A refund can be deposited directly into a bank account.|6a6d4f1a0a894d69b9b38f32f380534a
notice|irs|The IRS provides notices to individuals about adjustments to their refunds.|6a6d4f1a0a894d69b9b38f32f380534a
refund|amount expected|A refund can be for an amount that is more or less than what was expected.|6a6d4f1a0a894d69b9b38f32f380534a
refund check|lost, stolen, or destroyed|If a refund check is lost, stolen, or destroyed, the IRS will initiate a refund trace to determine its status.|6a6d4f1a0a894d69b9b38f32f380534a
federal income tax return|previous years|The context suggests that federal income tax returns can be filed for previous years as well.|57c9947e20134264b0480662f873dae7
return|soon|The context implies that it is recommended to file the return as soon as possible.|57c9947e20134264b0480662f873dae7
help|website|The context suggests that help can be found on the website mentioned.|57c9947e20134264b0480662f873dae7
interactive tax assistant (ita)|faqs|The context implies that these tools and resources are available for assistance with filing the return.|57c9947e20134264b0480662f873dae7
tax return|publication 17, your federal income tax (for individuals)|The context suggests that Publication 17 can be referred to for information on whether a tax return is required.|57c9947e20134264b0480662f873dae7
payment agreement|irs|The context implies that the IRS may be able to help with establishing a payment agreement if you owe a balance but cannot pay all the tax due.|57c9947e20134264b0480662f873dae7
return|due date (including extensions of time to file)|The context suggests that the return should be filed by the due date, including any extensions of time to file.|57c9947e20134264b0480662f873dae7
form w-2, wage and tax statement|form 10rr-r, distributions from pensions, annuities, retirement or profit-sharing plans, iras, insurance contracts, etc.|related forms|d1d34f3e06b3450c87617ce1a422d40a
irs|employer/payer|requests information from Employer/Payer on behalf of individual|d1d34f3e06b3450c87617ce1a422d40a
form 48s2, substitute for form w-2, wage and tax statement|letter containing instructions|related documents|d1d34f3e06b3450c87617ce1a422d40a
taxpayer identification number|address (including zip code)|identifying information for individual|d1d34f3e06b3450c87617ce1a422d40a
employer/payer's name and address (including zip code)|irs|provides information to IRS|d1d34f3e06b3450c87617ce1a422d40a
form w-2|form 10rr-r|related forms|9a687fdd643448a79b96008921c27382
form w-2|return|required for filing the return|9a687fdd643448a79b96008921c27382
form 10rr-r|estimates|used to estimate information|9a687fdd643448a79b96008921c27382
form 10rr-r|form w-2|compared for differences in information|9a687fdd643448a79b96008921c27382
form 10rr-r|form 1040-x|used to file an amended return when information differs|9a687fdd643448a79b96008921c27382
topic no. 308|form 1040-x|provides additional information on filing an amended return|9a687fdd643448a79b96008921c27382
irs|tax form|The IRS offers tax forms|a1f4ee3aff854ca1bb3537830aa47daa
computer|forms and publications by u.s. mail page|You can download and print forms and publications from the computer using this page|a1f4ee3aff854ca1bb3537830aa47daa
online ordering for information returns and employer returns|employer returns|Visit Online Ordering for Information Returns and Employer Returns to order employer returns|a1f4ee3aff854ca1bb3537830aa47daa
phone|800-tax-form|You can order forms and publications by calling 800-TAX-FORM (800-829-3676)|a1f4ee3aff854ca1bb3537830aa47daa
list of what you need|phone call|To expedite your phone call, make a list of what you need before you call|a1f4ee3aff854ca1bb3537830aa47daa
form 10-40|local irs offices|Local IRS offices carry limited numbers of commonly requested forms, such as Form 10-40|a1f4ee3aff854ca1bb3537830aa47daa
accessible forms & publications|people with disabilities|Check Accessible Forms & Publications for accessible versions for people with disabilities|a1f4ee3aff854ca1bb3537830aa47daa
transcript|irs|The IRS offers various transcript types free of charge.|f4bd8209e41145b8bf4e3f21cb96d090
get transcript online|transcript|Get Transcript Online is the fastest and easiest method to get a transcript.|f4bd8209e41145b8bf4e3f21cb96d090
form 4506-t, request for transcript of tax return|transcript|All transcript types are also available by mail, by submitting Form 4506-T, Request for Transcript of Tax Return.|f4bd8209e41145b8bf4e3f21cb96d090
form 4506-t-ez, short form request for individual tax return transcript|transcript|Additionally, Form 4506-T-EZ, Short Form Request for Individual Tax Return Transcript can be used to request just a tax return transcript.|f4bd8209e41145b8bf4e3f21cb96d090
tax return and account transcripts|irs|The tax return and account transcripts are also available by mail or by calling 800-908-9946 and following the prompts.|f4bd8209e41145b8bf4e3f21cb96d090
form 4506, request for copy of tax return|tax return|To get a complete copy of a previously filed tax return, along with all attachments (including Form W-2), submit Form 4506, Request for Copy of Tax Return.|f4bd8209e41145b8bf4e3f21cb96d090
publication 3067, irs disaster assistance – federally declared disaster areapdf|tax relief|If you're a taxpayer impacted by a federally declared disaster, the IRS waives the usual fees and expedites requests for copies of tax returns for people who need them to apply for disaster-related benefits or to file amended returns claiming disaster-related losses; see Publication 3067, IRS Disaster Assistance – Federally Declared Disaster AreaPDF.|f4bd8209e41145b8bf4e3f21cb96d090
topic no. 107|tax relief|For additional information about tax relief in disaster situations, refer to Topic no. 107 or call the IRS Disaster Assistance Hotline at 866-562-5227.|f4bd8209e41145b8bf4e3f21cb96d090
fraudulent tax return|copy of fraudulent tax return|A request for a copy of a fraudulent tax return can be made|d85c2b65923b4485b8ee1ff469b3181f
identity theft victims request for copy of fraudulent tax returnpdf|form 4506-f|The form used to request a copy of a fraudulent tax return is Form 4506-F|d85c2b65923b4485b8ee1ff469b3181f
instructions for requesting copy of fraudulent returns|form 4506-f|The instructions for requesting a copy of a fraudulent returns are found in Form 4506-F|d85c2b65923b4485b8ee1ff469b3181f
irs|address change|The IRS needs to be notified of any address changes to ensure receipt of tax refunds or correspondence.|2e757b34e7a4404b867a4e6e7e4239da
tax return|new address|When filing a tax return, enter the new address to update IRS records.|2e757b34e7a4404b867a4e6e7e4239da
post office|old address|Notify the post office that services your old address if you change your address after filing your return.|2e757b34e7a4404b867a4e6e7e4239da
form 88-22|change of address|Complete Form 88-22 to change your address with the IRS.|2e757b34e7a4404b867a4e6e7e4239da
responsible party|business|Form 88-22-B is used to change the responsible party for a business when changing its address.|2e757b34e7a4404b867a4e6e7e4239da
written notification|address change|You can also notify the IRS of an address change in writing by providing your full name, old and new addresses, Social Security number or ID number, and signature.|2e757b34e7a4404b867a4e6e7e4239da
individual income tax return|federal taxes|If you have a balance due on your individual income tax return, paying electronically is a convenient way to pay your federal taxes online...|d4443f7e77c244caa629da9a32329959
irs electronic payment options|payments page|...are available on our Payments page and the IRS2Go app.|d4443f7e77c244caa629da9a32329959
irs e-pay options|paying your tax bill|When you use any of the IRS e-Pay options, it puts you in control of paying your tax bill and gives you peace of mind.|d4443f7e77c244caa629da9a32329959
tax payments|estimated tax payments|You can make tax payments, including estimated tax payments...|d4443f7e77c244caa629da9a32329959
irs direct pay|form 10-40 series|...lets you pay your taxes for Form 10-40 series and more directly from your checking or savings account at no cost to you.|d4443f7e77c244caa629da9a32329959
payment details|payment status|With Direct Pay, you can use the 'Look Up a Payment' feature to view your payment details and status.|d4443f7e77c244caa629da9a32329959
tax return|electronic funds withdrawal option|related to each other for paying taxes electronically|b0c769ac487b4db1a00a1740465a0018
account number|routing number|required information for Electronic Funds Withdrawal option|b0c769ac487b4db1a00a1740465a0018
financial institution|electronic withdrawals|allows or disallows electronic withdrawals|b0c769ac487b4db1a00a1740465a0018
credit card|debit card|payment methods for paying taxes through Your Online Account|b0c769ac487b4db1a00a1740465a0018
direct pay|digital wallet|electronic payment options for paying taxes|b0c769ac487b4db1a00a1740465a0018
check|money order|payment methods for filing and paying by mail|b0c769ac487b4db1a00a1740465a0018
form 10-40-v|federal tax return|required documents for filing taxes by mail|b0c769ac487b4db1a00a1740465a0018
united states treasury|payment|payable to and with specific information|b0c769ac487b4db1a00a1740465a0018
taxpayer identification number|joint return|The taxpayer identification number is listed first on the joint return.|1972fbe1a7aa4b2495468d223b82880c
estimated tax payment|form 10-40 es|Estimated tax payments should be mailed separately to the address shown in Form 10-40 ES.|1972fbe1a7aa4b2495468d223b82880c
payment information|payments page|For payment information, visit our Payments page.|1972fbe1a7aa4b2495468d223b82880c
federal income tax|publication 17|For additional information on federal income tax, refer to Publication 17.|1972fbe1a7aa4b2495468d223b82880c
form w-2|wage and tax statement|is equivalent to|84ccdb33aef840bcbb2addfbab2583f4
get transcript tool|irs|requests data from|84ccdb33aef840bcbb2addfbab2583f4
transcript|forms w-2, form 1099 series, form 1098 series, and form 5498 series|contains information from|84ccdb33aef840bcbb2addfbab2583f4
tax years|irs|available for|84ccdb33aef840bcbb2addfbab2583f4
form 4506-t|transcript of tax return|requests a wage and income transcript from|84ccdb33aef840bcbb2addfbab2583f4
copy|form w-2, wage and tax statement|is a copy of|84ccdb33aef840bcbb2addfbab2583f4
paper tax return|irs|attached to|84ccdb33aef840bcbb2addfbab2583f4
form 4506|copy of tax return|requests a copy from|84ccdb33aef840bcbb2addfbab2583f4
social security administration|number holder|provides to|a2c727e7912d46bb8ecf7aae6d27cc6f
ssa|form w-2|provides a microprint copy of|a2c727e7912d46bb8ecf7aae6d27cc6f
form w-2|ssa program-related matter|helps resolve|a2c727e7912d46bb8ecf7aae6d27cc6f
ssa program-related matter|earnings discrepancy|is connected to the processing of|a2c727e7912d46bb8ecf7aae6d27cc6f
earnings discrepancy|title ii and/or title xvi claim|or an SSA or NH initiated earnings investigation|a2c727e7912d46bb8ecf7aae6d27cc6f
ssa or nh initiated earnings investigation|ssa program-related matter|is connected to the processing of|a2c727e7912d46bb8ecf7aae6d27cc6f
ssa.gov|instructions|provides|a2c727e7912d46bb8ecf7aae6d27cc6f
800-772-1213|instructions|provides through a phone call|a2c727e7912d46bb8ecf7aae6d27cc6f
erroneous refund|refund|An erroneous refund is a type of refund that is incorrect or too much.|2fdf47de3e754deab580ed9e9ae3dae9
refund|treasury check|A refund can be received in the form of a Treasury check.|2fdf47de3e754deab580ed9e9ae3dae9
treasury check|void|If an erroneous Treasury check hasn't been cashed, it should be marked as 'Void' and returned immediately.|2fdf47de3e754deab580ed9e9ae3dae9
void|irs location|A voided Treasury check should be submitted to the appropriate IRS location based on state of residency.|2fdf47de3e754deab580ed9e9ae3dae9
irs location|mailing address|The IRS location is located at a specific mailing address, which can be found on the About Form 39 page.|2fdf47de3e754deab580ed9e9ae3dae9
note|reason for returning refund check|A note should be included with the refund check explaining the reason for returning it.|2fdf47de3e754deab580ed9e9ae3dae9
